;L_ABSATZ3;L_ABSATZ2;WERKS;MATNR
143;2.97;2.97;11;48
144;3.12;3.12;12;30
145;3.12;3.12;12;31
146;3.12;3.12;12;32
147;3.12;3.12;12;33
148;3.12;3.12;12;48
149;3.12;3.12;12;48
150;3.12;3.12;12;48
151;3.12;3.12;12;48
152;3.12;3.12;12;48
153;3.12;3.12;12;48
154;3.12;3.12;12;48
155;3.12;3.12;12;48
156;2.35;2.35;14;30
157;2.35;2.35;14;31
158;2.35;2.35;14;32
159;2.35;2.35;14;33
160;2.35;2.35;14;48
161;2.35;2.35;14;48
162;2.35;2.35;14;48
163;2.35;2.35;14;48
164;2.35;2.35;14;48
165;2.35;2.35;14;48
166;2.35;2.35;14;48
167;2.35;2.35;14;48
168;2.87;2.87;15;30
169;2.87;2.87;15;31
170;2.87;2.87;15;32
171;2.87;2.87;15;33
172;2.87;2.87;15;48
173;2.87;2.87;15;48
174;2.87;2.87;15;48
175;2.87;2.87;15;48
176;2.87;2.87;15;48
177;2.87;2.87;15;48
178;2.87;2.87;15;48
179;2.87;2.87;15;48
180;3.1100000000000003;3.1100000000000003;16;30
181;3.1100000000000003;3.1100000000000003;16;31
182;3.1100000000000003;3.1100000000000003;16;32
183;3.1100000000000003;3.1100000000000003;16;33
184;3.1100000000000003;3.1100000000000003;16;48
185;3.1100000000000003;3.1100000000000003;16;48
186;3.1100000000000003;3.1100000000000003;16;48
187;3.1100000000000003;3.1100000000000003;16;48
188;3.1100000000000003;3.1100000000000003;16;48
189;3.1100000000000003;3.1100000000000003;16;48
190;3.1100000000000003;3.1100000000000003;16;48
191;3.1100000000000003;3.1100000000000003;16;48
192;3.22;3.22;17;30
193;3.22;3.22;17;31
194;3.22;3.22;17;32
195;3.22;3.22;17;33
196;3.22;3.22;17;48
197;3.22;3.22;17;48
198;3.22;3.22;17;48
199;3.22;3.22;17;48
200;3.22;3.22;17;48
201;3.22;3.22;17;48
202;3.22;3.22;17;48
203;3.22;3.22;17;48
204;2.99;2.99;18;30
205;2.99;2.99;18;31
206;2.99;2.99;18;32
207;2.99;2.99;18;33
208;2.99;2.99;18;48
209;2.99;2.99;18;48
210;2.99;2.99;18;48
211;2.99;2.99;18;48
212;2.99;2.99;18;48
213;2.99;2.99;18;48
214;2.99;2.99;18;48
215;2.99;2.99;18;48
216;2.8600000000000003;2.8600000000000003;19;30
217;2.8600000000000003;2.8600000000000003;19;31
218;2.8600000000000003;2.8600000000000003;19;32
219;2.8600000000000003;2.8600000000000003;19;33
220;2.8600000000000003;2.8600000000000003;19;48
221;2.8600000000000003;2.8600000000000003;19;48
222;2.8600000000000003;2.8600000000000003;19;48
223;2.8600000000000003;2.8600000000000003;19;48
224;2.8600000000000003;2.8600000000000003;19;48
225;2.8600000000000003;2.8600000000000003;19;48
226;2.8600000000000003;2.8600000000000003;19;48
227;2.8600000000000003;2.8600000000000003;19;48
228;3.2600000000000002;3.2600000000000002;20;30
229;3.2600000000000002;3.2600000000000002;20;31
230;3.2600000000000002;3.2600000000000002;20;32
231;3.2600000000000002;3.2600000000000002;20;33
232;3.2600000000000002;3.2600000000000002;20;48
233;3.2600000000000002;3.2600000000000002;20;48
234;3.2600000000000002;3.2600000000000002;20;48
235;3.2600000000000002;3.2600000000000002;20;48
236;3.2600000000000002;3.2600000000000002;20;48
237;3.2600000000000002;3.2600000000000002;20;48
238;3.2600000000000002;3.2600000000000002;20;48
239;3.2600000000000002;3.2600000000000002;20;48
240;3.3400000000000003;3.3400000000000003;21;30
241;3.3400000000000003;3.3400000000000003;21;31
242;3.3400000000000003;3.3400000000000003;21;32
243;3.3400000000000003;3.3400000000000003;21;33
244;3.3400000000000003;3.3400000000000003;21;48
245;3.3400000000000003;3.3400000000000003;21;48
246;3.3400000000000003;3.3400000000000003;21;48
247;3.3400000000000003;3.3400000000000003;21;48
248;3.3400000000000003;3.3400000000000003;21;48
249;3.3400000000000003;3.3400000000000003;21;48
250;3.3400000000000003;3.3400000000000003;21;48
251;3.3400000000000003;3.3400000000000003;21;48
252;3.0300000000000002;3.0300000000000002;22;30
253;3.0300000000000002;3.0300000000000002;22;31
254;3.0300000000000002;3.0300000000000002;22;32
255;3.0300000000000002;3.0300000000000002;22;33
256;3.0300000000000002;3.0300000000000002;22;48
257;3.0300000000000002;3.0300000000000002;22;48
258;3.0300000000000002;3.0300000000000002;22;48
259;3.0300000000000002;3.0300000000000002;22;48
260;3.0300000000000002;3.0300000000000002;22;48
261;3.0300000000000002;3.0300000000000002;22;48
262;3.0300000000000002;3.0300000000000002;22;48
263;3.0300000000000002;3.0300000000000002;22;48
264;3.1;3.1;23;30
265;3.1;3.1;23;31
266;3.1;3.1;23;32
267;3.1;3.1;23;33
268;3.1;3.1;23;48
269;3.1;3.1;23;48
270;3.1;3.1;23;48
271;3.1;3.1;23;48
272;3.1;3.1;23;48
273;3.1;3.1;23;48
274;3.1;3.1;23;48
275;3.1;3.1;23;48
276;3.08;3.08;24;30
277;3.08;3.08;24;31
278;3.08;3.08;24;32
279;3.08;3.08;24;33
280;3.08;3.08;24;48
281;3.08;3.08;24;48
282;3.08;3.08;24;48
283;3.08;3.08;24;48
284;3.08;3.08;24;48
285;3.08;3.08;24;48
286;3.08;3.08;24;48
287;3.08;3.08;24;48
288;2.8600000000000003;2.8600000000000003;25;30
289;2.8600000000000003;2.8600000000000003;25;31
290;2.8600000000000003;2.8600000000000003;25;32
291;2.8600000000000003;2.8600000000000003;25;33
292;2.8600000000000003;2.8600000000000003;25;48
293;2.8600000000000003;2.8600000000000003;25;48
294;2.8600000000000003;2.8600000000000003;25;48
295;2.8600000000000003;2.8600000000000003;25;48
296;2.8600000000000003;2.8600000000000003;25;48
297;2.8600000000000003;2.8600000000000003;25;48
298;2.8600000000000003;2.8600000000000003;25;48
299;2.8600000000000003;2.8600000000000003;25;48
300;3.37;3.37;27;30
301;3.37;3.37;27;31
302;3.37;3.37;27;32
303;3.37;3.37;27;33
304;3.37;3.37;27;48
305;3.37;3.37;27;48
306;3.37;3.37;27;48
307;3.37;3.37;27;48
308;3.37;3.37;27;48
309;3.37;3.37;27;48
310;3.37;3.37;27;48
311;3.37;3.37;27;48
312;2.8600000000000003;2.8600000000000003;28;30
313;2.8600000000000003;2.8600000000000003;28;31
314;2.8600000000000003;2.8600000000000003;28;32
315;2.8600000000000003;2.8600000000000003;28;33
316;2.8600000000000003;2.8600000000000003;28;48
317;2.8600000000000003;2.8600000000000003;28;48
318;2.8600000000000003;2.8600000000000003;28;48
319;2.8600000000000003;2.8600000000000003;28;48
320;2.8600000000000003;2.8600000000000003;28;48
321;2.8600000000000003;2.8600000000000003;28;48
322;2.8600000000000003;2.8600000000000003;28;48
323;2.8600000000000003;2.8600000000000003;28;48
324;2.67;2.67;29;30
325;2.67;2.67;29;31
326;2.67;2.67;29;32
327;2.67;2.67;29;33
328;2.67;2.67;29;48
329;2.67;2.67;29;48
330;2.67;2.67;29;48
331;2.67;2.67;29;48
332;2.67;2.67;29;48
333;2.67;2.67;29;48
334;2.67;2.67;29;48
335;2.67;2.67;29;48
336;3.17;3.17;30;30
337;3.17;3.17;30;31
338;3.17;3.17;30;32
339;3.17;3.17;30;33
340;3.17;3.17;30;48
341;3.17;3.17;30;48
342;3.17;3.17;30;48
343;3.17;3.17;30;48
344;3.17;3.17;30;48
345;3.17;3.17;30;48
346;3.17;3.17;30;48
347;3.17;3.17;30;48
348;3.12;3.12;31;30
349;3.12;3.12;31;31
350;3.12;3.12;31;32
351;3.12;3.12;31;33
352;3.12;3.12;31;48
353;3.12;3.12;31;48
354;3.12;3.12;31;48
355;3.12;3.12;31;48
356;3.12;3.12;31;48
357;3.12;3.12;31;48
358;3.12;3.12;31;48
359;3.12;3.12;31;48
360;2.95;2.95;32;30
361;2.95;2.95;32;31
362;2.95;2.95;32;32
363;2.95;2.95;32;33
364;2.95;2.95;32;48
365;2.95;2.95;32;48
366;2.95;2.95;32;48
367;2.95;2.95;32;48
368;2.95;2.95;32;48
369;2.95;2.95;32;48
370;2.95;2.95;32;48
371;2.95;2.95;32;48
372;2.72;2.72;33;30
373;2.72;2.72;33;31
374;2.72;2.72;33;32
375;2.72;2.72;33;33
376;2.72;2.72;33;48
377;2.72;2.72;33;48
378;2.72;2.72;33;48
379;2.72;2.72;33;48
380;2.72;2.72;33;48
381;2.72;2.72;33;48
382;2.72;2.72;33;48
383;2.72;2.72;33;48
384;3.17;3.17;34;30
385;3.17;3.17;34;31
386;3.17;3.17;34;32
387;3.17;3.17;34;33
388;3.17;3.17;34;48
389;3.17;3.17;34;48
390;3.17;3.17;34;48
391;3.17;3.17;34;48
392;3.17;3.17;34;48
393;3.17;3.17;34;48
394;3.17;3.17;34;48
395;3.17;3.17;34;48
396;3.0;3.0;35;30
397;3.0;3.0;35;31
398;3.0;3.0;35;32
399;3.0;3.0;35;33
400;3.0;3.0;35;48
401;3.0;3.0;35;48
402;3.0;3.0;35;48
403;3.0;3.0;35;48
404;3.0;3.0;35;48
405;3.0;3.0;35;48
406;3.0;3.0;35;48
407;3.0;3.0;35;48
408;2.8800000000000003;2.8800000000000003;36;30
409;2.8800000000000003;2.8800000000000003;36;31
410;2.8800000000000003;2.8800000000000003;36;32
411;2.8800000000000003;2.8800000000000003;36;33
412;2.8800000000000003;2.8800000000000003;36;48
413;2.8800000000000003;2.8800000000000003;36;48
414;2.8800000000000003;2.8800000000000003;36;48
415;2.8800000000000003;2.8800000000000003;36;48
416;2.8800000000000003;2.8800000000000003;36;48
417;2.8800000000000003;2.8800000000000003;36;48
418;2.8800000000000003;2.8800000000000003;36;48
419;2.8800000000000003;2.8800000000000003;36;48
420;3.2;3.2;37;30
421;3.2;3.2;37;31
422;3.2;3.2;37;32
423;3.2;3.2;37;33
424;3.2;3.2;37;48
425;3.2;3.2;37;48
426;3.2;3.2;37;48
427;3.2;3.2;37;48
428;3.2;3.2;37;48
429;3.2;3.2;37;48
430;3.2;3.2;37;48
431;3.2;3.2;37;48
432;2.99;2.99;38;30
433;2.99;2.99;38;31
434;2.99;2.99;38;32
435;2.99;2.99;38;33
436;2.99;2.99;38;48
437;2.99;2.99;38;48
438;2.99;2.99;38;48
439;2.99;2.99;38;48
440;2.99;2.99;38;48
441;2.99;2.99;38;48
442;2.99;2.99;38;48
443;2.99;2.99;38;48
444;3.1300000000000003;3.1300000000000003;39;30
445;3.1300000000000003;3.1300000000000003;39;31
446;3.1300000000000003;3.1300000000000003;39;32
447;3.1300000000000003;3.1300000000000003;39;33
448;3.1300000000000003;3.1300000000000003;39;48
449;3.1300000000000003;3.1300000000000003;39;48
450;3.1300000000000003;3.1300000000000003;39;48
451;3.1300000000000003;3.1300000000000003;39;48
452;3.1300000000000003;3.1300000000000003;39;48
453;3.1300000000000003;3.1300000000000003;39;48
454;3.1300000000000003;3.1300000000000003;39;48
455;3.1300000000000003;3.1300000000000003;39;48
456;2.93;2.93;40;30
457;2.93;2.93;40;31
458;2.93;2.93;40;32
459;2.93;2.93;40;33
460;2.93;2.93;40;48
461;2.93;2.93;40;48
462;2.93;2.93;40;48
463;2.93;2.93;40;48
464;2.93;2.93;40;48
465;2.93;2.93;40;48
466;2.93;2.93;40;48
467;2.93;2.93;40;48
468;3.27;3.27;41;30
469;3.27;3.27;41;31
470;3.27;3.27;41;32
471;3.27;3.27;41;33
472;3.27;3.27;41;48
473;3.27;3.27;41;48
474;3.27;3.27;41;48
475;3.27;3.27;41;48
476;3.27;3.27;41;48
477;3.27;3.27;41;48
478;3.27;3.27;41;48
479;3.27;3.27;41;48
480;3.6;3.6;42;30
481;3.6;3.6;42;31
482;3.6;3.6;42;32
483;3.6;3.6;42;33
484;3.6;3.6;42;48
485;3.6;3.6;42;48
486;3.6;3.6;42;48
487;3.6;3.6;42;48
488;3.6;3.6;42;48
489;3.6;3.6;42;48
490;3.6;3.6;42;48
491;3.6;3.6;42;48
492;3.16;3.16;43;30
493;3.16;3.16;43;31
494;3.16;3.16;43;32
495;3.16;3.16;43;33
496;3.16;3.16;43;48
497;3.16;3.16;43;48
498;3.16;3.16;43;48
499;3.16;3.16;43;48
500;3.16;3.16;43;48
501;3.16;3.16;43;48
502;3.16;3.16;43;48
503;3.16;3.16;43;48
504;2.6500000000000004;2.6500000000000004;44;30
505;2.6500000000000004;2.6500000000000004;44;31
506;2.6500000000000004;2.6500000000000004;44;32
507;2.6500000000000004;2.6500000000000004;44;33
508;2.6500000000000004;2.6500000000000004;44;48
509;2.6500000000000004;2.6500000000000004;44;48
510;2.6500000000000004;2.6500000000000004;44;48
511;2.6500000000000004;2.6500000000000004;44;48
512;2.6500000000000004;2.6500000000000004;44;48
513;2.6500000000000004;2.6500000000000004;44;48
514;2.6500000000000004;2.6500000000000004;44;48
515;2.6500000000000004;2.6500000000000004;44;48
516;3.3000000000000003;3.3000000000000003;45;30
517;3.3000000000000003;3.3000000000000003;45;31
518;3.3000000000000003;3.3000000000000003;45;32
519;3.3000000000000003;3.3000000000000003;45;33
520;3.3000000000000003;3.3000000000000003;45;48
521;3.3000000000000003;3.3000000000000003;45;48
522;3.3000000000000003;3.3000000000000003;45;48
523;3.3000000000000003;3.3000000000000003;45;48
524;3.3000000000000003;3.3000000000000003;45;48
525;3.3000000000000003;3.3000000000000003;45;48
526;3.3000000000000003;3.3000000000000003;45;48
527;3.3000000000000003;3.3000000000000003;45;48
528;2.62;2.62;46;30
529;2.62;2.62;46;31
530;2.62;2.62;46;32
531;2.62;2.62;46;33
532;2.62;2.62;46;48
533;2.62;2.62;46;48
534;2.62;2.62;46;48
535;2.62;2.62;46;48
536;2.62;2.62;46;48
537;2.62;2.62;46;48
538;2.62;2.62;46;48
539;2.62;2.62;46;48
540;2.54;2.54;47;30
541;2.54;2.54;47;31
542;2.54;2.54;47;32
543;2.54;2.54;47;33
544;2.54;2.54;47;48
545;2.54;2.54;47;48
546;2.54;2.54;47;48
547;2.54;2.54;47;48
548;2.54;2.54;47;48
549;2.54;2.54;47;48
550;2.54;2.54;47;48
551;2.54;2.54;47;48
552;3.3400000000000003;3.3400000000000003;48;30
553;3.3400000000000003;3.3400000000000003;48;31
554;3.3400000000000003;3.3400000000000003;48;32
555;3.3400000000000003;3.3400000000000003;48;33
556;3.3400000000000003;3.3400000000000003;48;48
557;3.3400000000000003;3.3400000000000003;48;48
558;3.3400000000000003;3.3400000000000003;48;48
559;3.3400000000000003;3.3400000000000003;48;48
560;3.3400000000000003;3.3400000000000003;48;48
561;3.3400000000000003;3.3400000000000003;48;48
562;3.3400000000000003;3.3400000000000003;48;48
563;3.3400000000000003;3.3400000000000003;48;48
564;3.0100000000000002;3.0100000000000002;49;30
565;3.0100000000000002;3.0100000000000002;49;31
566;3.0100000000000002;3.0100000000000002;49;32
567;3.0100000000000002;3.0100000000000002;49;33
568;3.0100000000000002;3.0100000000000002;49;48
569;3.0100000000000002;3.0100000000000002;49;48
570;3.0100000000000002;3.0100000000000002;49;48
571;3.0100000000000002;3.0100000000000002;49;48
572;3.0100000000000002;3.0100000000000002;49;48
573;3.0100000000000002;3.0100000000000002;49;48
574;3.0100000000000002;3.0100000000000002;49;48
575;3.0100000000000002;3.0100000000000002;49;48
576;2.93;2.93;50;30
577;2.93;2.93;50;31
578;2.93;2.93;50;32
579;2.93;2.93;50;33
580;2.93;2.93;50;48
581;2.93;2.93;50;48
582;2.93;2.93;50;48
583;2.93;2.93;50;48
584;2.93;2.93;50;48
585;2.93;2.93;50;48
586;2.93;2.93;50;48
587;2.93;2.93;50;48
588;3.12;3.12;51;30
589;3.12;3.12;51;31
590;3.12;3.12;51;32
591;3.12;3.12;51;33
592;3.12;3.12;51;48
593;3.12;3.12;51;48
594;3.12;3.12;51;48
595;3.12;3.12;51;48
596;3.12;3.12;51;48
597;3.12;3.12;51;48
598;3.12;3.12;51;48
599;3.12;3.12;51;48
600;3.04;3.04;52;30
601;3.04;3.04;52;31
602;3.04;3.04;52;32
603;3.04;3.04;52;33
604;3.04;3.04;52;48
605;3.04;3.04;52;48
606;3.04;3.04;52;48
607;3.04;3.04;52;48
608;3.04;3.04;52;48
609;3.04;3.04;52;48
610;3.04;3.04;52;48
611;3.04;3.04;52;48
612;3.31;3.31;53;30
613;3.31;3.31;53;31
614;3.31;3.31;53;32
615;3.31;3.31;53;33
616;3.31;3.31;53;48
617;3.31;3.31;53;48
618;3.31;3.31;53;48
619;3.31;3.31;53;48
620;3.31;3.31;53;48
621;3.31;3.31;53;48
622;3.31;3.31;53;48
623;3.31;3.31;53;48
624;3.0700000000000003;3.0700000000000003;54;30
625;3.0700000000000003;3.0700000000000003;54;31
626;3.0700000000000003;3.0700000000000003;54;32
627;3.0700000000000003;3.0700000000000003;54;33
628;3.0700000000000003;3.0700000000000003;54;48
629;3.0700000000000003;3.0700000000000003;54;48
630;3.0700000000000003;3.0700000000000003;54;48
631;3.0700000000000003;3.0700000000000003;54;48
632;3.0700000000000003;3.0700000000000003;54;48
633;3.0700000000000003;3.0700000000000003;54;48
634;3.0700000000000003;3.0700000000000003;54;48
635;3.0700000000000003;3.0700000000000003;54;48
636;3.24;3.24;55;30
637;3.24;3.24;55;31
638;3.24;3.24;55;32
639;3.24;3.24;55;33
640;3.24;3.24;55;48
641;3.24;3.24;55;48
642;3.24;3.24;55;48
643;3.24;3.24;55;48
644;3.24;3.24;55;48
645;3.24;3.24;55;48
646;3.24;3.24;55;48
647;3.24;3.24;55;48
648;3.0100000000000002;3.0100000000000002;56;30
649;3.0100000000000002;3.0100000000000002;56;31
650;3.0100000000000002;3.0100000000000002;56;32
651;3.0100000000000002;3.0100000000000002;56;33
652;3.0100000000000002;3.0100000000000002;56;48
653;3.0100000000000002;3.0100000000000002;56;48
654;3.0100000000000002;3.0100000000000002;56;48
655;3.0100000000000002;3.0100000000000002;56;48
656;3.0100000000000002;3.0100000000000002;56;48
657;3.0100000000000002;3.0100000000000002;56;48
658;3.0100000000000002;3.0100000000000002;56;48
659;3.0100000000000002;3.0100000000000002;56;48
660;3.2800000000000002;3.2800000000000002;57;30
661;3.2800000000000002;3.2800000000000002;57;31
662;3.2800000000000002;3.2800000000000002;57;32
663;3.2800000000000002;3.2800000000000002;57;33
664;3.2800000000000002;3.2800000000000002;57;48
665;3.2800000000000002;3.2800000000000002;57;48
666;3.2800000000000002;3.2800000000000002;57;48
667;3.2800000000000002;3.2800000000000002;57;48
668;3.2800000000000002;3.2800000000000002;57;48
669;3.2800000000000002;3.2800000000000002;57;48
670;3.2800000000000002;3.2800000000000002;57;48
671;3.2800000000000002;3.2800000000000002;57;48
672;3.31;3.31;58;30
673;3.31;3.31;58;31
674;3.31;3.31;58;32
675;3.31;3.31;58;33
676;3.31;3.31;58;48
677;3.31;3.31;58;48
678;3.31;3.31;58;48
679;3.31;3.31;58;48
680;3.31;3.31;58;48
681;3.31;3.31;58;48
682;3.31;3.31;58;48
683;3.31;3.31;58;48
684;3.46;3.46;59;30
685;3.46;3.46;59;31
686;3.46;3.46;59;32
687;3.46;3.46;59;33
688;3.46;3.46;59;48
689;3.46;3.46;59;48
690;3.46;3.46;59;48
691;3.46;3.46;59;48
692;3.46;3.46;59;48
693;3.46;3.46;59;48
694;3.46;3.46;59;48
695;3.46;3.46;59;48
696;3.0900000000000003;3.0900000000000003;60;30
697;3.0900000000000003;3.0900000000000003;60;31
698;3.0900000000000003;3.0900000000000003;60;32
699;3.0900000000000003;3.0900000000000003;60;33
700;3.0900000000000003;3.0900000000000003;60;48
701;3.0900000000000003;3.0900000000000003;60;48
702;3.0900000000000003;3.0900000000000003;60;48
703;3.0900000000000003;3.0900000000000003;60;48
704;3.0900000000000003;3.0900000000000003;60;48
705;3.0900000000000003;3.0900000000000003;60;48
706;3.0900000000000003;3.0900000000000003;60;48
707;3.0900000000000003;3.0900000000000003;60;48
708;3.2300000000000004;3.2300000000000004;61;30
709;3.2300000000000004;3.2300000000000004;61;31
710;3.2300000000000004;3.2300000000000004;61;32
711;3.2300000000000004;3.2300000000000004;61;33
712;3.2300000000000004;3.2300000000000004;61;48
713;3.2300000000000004;3.2300000000000004;61;48
714;3.2300000000000004;3.2300000000000004;61;48
715;3.2300000000000004;3.2300000000000004;61;48
716;3.2300000000000004;3.2300000000000004;61;48
717;3.2300000000000004;3.2300000000000004;61;48
718;3.2300000000000004;3.2300000000000004;61;48
719;3.2300000000000004;3.2300000000000004;61;48
720;3.18;3.18;62;30
721;3.18;3.18;62;31
722;3.18;3.18;62;32
723;3.18;3.18;62;33
724;3.18;3.18;62;48
725;3.18;3.18;62;48
726;3.18;3.18;62;48
727;3.18;3.18;62;48
728;3.18;3.18;62;48
729;3.18;3.18;62;48
730;3.18;3.18;62;48
731;3.18;3.18;62;48
732;3.3800000000000003;3.3800000000000003;63;30
733;3.3800000000000003;3.3800000000000003;63;31
734;3.3800000000000003;3.3800000000000003;63;32
735;3.3800000000000003;3.3800000000000003;63;33
736;3.3800000000000003;3.3800000000000003;63;48
737;3.3800000000000003;3.3800000000000003;63;48
738;3.3800000000000003;3.3800000000000003;63;48
739;3.3800000000000003;3.3800000000000003;63;48
740;3.3800000000000003;3.3800000000000003;63;48
741;3.3800000000000003;3.3800000000000003;63;48
742;3.3800000000000003;3.3800000000000003;63;48
743;3.3800000000000003;3.3800000000000003;63;48
744;3.54;3.54;64;30
745;3.54;3.54;64;31
746;3.54;3.54;64;32
747;3.54;3.54;64;33
748;3.54;3.54;64;48
749;3.54;3.54;64;48
750;3.54;3.54;64;48
751;3.54;3.54;64;48
752;3.54;3.54;64;48
753;3.54;3.54;64;48
754;3.54;3.54;64;48
755;3.54;3.54;64;48
756;2.79;2.79;65;30
757;2.79;2.79;65;31
758;2.79;2.79;65;32
759;2.79;2.79;65;33
760;2.79;2.79;65;48
761;2.79;2.79;65;48
762;2.79;2.79;65;48
763;2.79;2.79;65;48
764;2.79;2.79;65;48
765;2.79;2.79;65;48
766;2.79;2.79;65;48
767;2.79;2.79;65;48
768;2.85;2.85;66;30
769;2.85;2.85;66;31
770;2.85;2.85;66;32
771;2.85;2.85;66;33
772;2.85;2.85;66;48
773;2.85;2.85;66;48
774;2.85;2.85;66;48
775;2.85;2.85;66;48
776;2.85;2.85;66;48
777;2.85;2.85;66;48
778;2.85;2.85;66;48
779;2.85;2.85;66;48
780;3.24;3.24;67;30
781;3.24;3.24;67;31
782;3.24;3.24;67;32
783;3.24;3.24;67;33
784;3.24;3.24;67;48
785;3.24;3.24;67;48
786;3.24;3.24;67;48
787;3.24;3.24;67;48
788;3.24;3.24;67;48
789;3.24;3.24;67;48
790;3.24;3.24;67;48
791;3.24;3.24;67;48
792;3.48;3.48;68;30
793;3.48;3.48;68;31
794;3.48;3.48;68;32
795;3.48;3.48;68;33
796;3.48;3.48;68;48
797;3.48;3.48;68;48
